datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/6/2017 7:00:00 PM,44.97,42.85,3.46,-1.34
10/6/2017 8:00:00 PM,43.02,40.51,3.55,-1.04
10/6/2017 9:00:00 PM,33.56,32.15,2.1,-0.69
10/6/2017 10:00:00 PM,28.04,26.46,2.03,-0.45
10/6/2017 11:00:00 PM,25.88,24.24,2.03,-0.39
10/7/2017 12:00:00 AM,26.5,24.67,1.96,-0.13
10/7/2017 1:00:00 AM,24,22.01,2.04,-0.05
10/7/2017 2:00:00 AM,22.86,20.9,1.95,0.01
10/7/2017 3:00:00 AM,22.09,20.23,1.86,0
10/7/2017 4:00:00 AM,21.83,19.77,2.08,-0.02
10/7/2017 5:00:00 AM,22.15,20.2,2.11,-0.16
10/7/2017 6:00:00 AM,22.94,20.65,2.53,-0.24
10/7/2017 7:00:00 AM,24.04,22.03,2.26,-0.25
10/7/2017 8:00:00 AM,25.2,23.42,2.01,-0.23
10/7/2017 9:00:00 AM,29.56,27.4,2.43,-0.27
10/7/2017 10:00:00 AM,33.75,32.08,2.19,-0.52
10/7/2017 11:00:00 AM,37.7,36.93,1.41,-0.64
10/7/2017 12:00:00 PM,41.47,41.31,0.93,-0.77
10/7/2017 1:00:00 PM,42.58,42.99,0.55,-0.96
10/7/2017 2:00:00 PM,47.44,47.34,1.15,-1.05
10/7/2017 3:00:00 PM,52.03,52.4,0.91,-1.28
10/7/2017 4:00:00 PM,53.59,55.18,-0.22,-1.37
10/7/2017 5:00:00 PM,51.42,52.27,0.41,-1.26
10/7/2017 6:00:00 PM,45.23,45.62,0.56,-0.95
10/7/2017 7:00:00 PM,48.9,49.29,0.77,-1.16
10/7/2017 8:00:00 PM,42.27,41.84,1.2,-0.77
10/7/2017 9:00:00 PM,35.67,34.98,1.13,-0.44
10/7/2017 10:00:00 PM,29.29,28.11,1.48,-0.3
10/7/2017 11:00:00 PM,26.43,24.48,2.19,-0.24
10/8/2017 12:00:00 AM,24.01,22.16,2.13,-0.28
10/8/2017 1:00:00 AM,22.85,20.8,2.21,-0.16
10/8/2017 2:00:00 AM,21.96,19.81,2.26,-0.11
10/8/2017 3:00:00 AM,21,19.04,2.03,-0.07
10/8/2017 4:00:00 AM,20.98,18.92,2.12,-0.06
10/8/2017 5:00:00 AM,21.51,19.31,2.3,-0.1
10/8/2017 6:00:00 AM,22.14,20.16,2.16,-0.18
10/8/2017 7:00:00 AM,23.28,21.07,2.42,-0.21
10/8/2017 8:00:00 AM,24.57,22.47,2.33,-0.23
10/8/2017 9:00:00 AM,26.54,24.58,2.28,-0.32
10/8/2017 10:00:00 AM,30.17,28.57,2.04,-0.44
10/8/2017 11:00:00 AM,33.23,32.22,1.61,-0.6
10/8/2017 12:00:00 PM,34.91,34.86,0.87,-0.82
10/8/2017 1:00:00 PM,39.64,39.66,1,-1.02
10/8/2017 2:00:00 PM,41.02,41.24,0.93,-1.15
10/8/2017 3:00:00 PM,42.98,43.77,0.4,-1.19
10/8/2017 4:00:00 PM,46.77,47.62,0.46,-1.31
10/8/2017 5:00:00 PM,45.85,46.87,0.26,-1.28
10/8/2017 6:00:00 PM,45.15,46.41,-0.04,-1.22
10/8/2017 7:00:00 PM,53.41,54.9,0.17,-1.66
10/8/2017 8:00:00 PM,45.84,46.34,0.64,-1.14
10/8/2017 9:00:00 PM,39.76,39.22,1.1,-0.56
10/8/2017 10:00:00 PM,29.55,28.78,1.14,-0.37
10/8/2017 11:00:00 PM,25.52,24.08,1.79,-0.35
10/9/2017 12:00:00 AM,24.03,22.68,1.64,-0.29
10/9/2017 1:00:00 AM,22.7,20.99,1.89,-0.18
10/9/2017 2:00:00 AM,22.23,20.55,1.83,-0.15
10/9/2017 3:00:00 AM,22.15,20.34,1.91,-0.1
10/9/2017 4:00:00 AM,22.18,20.29,2.01,-0.12
