datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/5/2017 8:00:00 AM,10/5/2017 4:00:00 AM,10/5/2017 9:00:00 AM,10/5/2017 5:00:00 AM,DAY,1648.0
10/5/2017 9:00:00 AM,10/5/2017 5:00:00 AM,10/5/2017 10:00:00 AM,10/5/2017 6:00:00 AM,DAY,1755.5
10/5/2017 10:00:00 AM,10/5/2017 6:00:00 AM,10/5/2017 11:00:00 AM,10/5/2017 7:00:00 AM,DAY,1966.2
10/5/2017 11:00:00 AM,10/5/2017 7:00:00 AM,10/5/2017 12:00:00 PM,10/5/2017 8:00:00 AM,DAY,2112.8
10/5/2017 12:00:00 PM,10/5/2017 8:00:00 AM,10/5/2017 1:00:00 PM,10/5/2017 9:00:00 AM,DAY,2131.8
10/5/2017 1:00:00 PM,10/5/2017 9:00:00 AM,10/5/2017 2:00:00 PM,10/5/2017 10:00:00 AM,DAY,2164.2
10/5/2017 2:00:00 PM,10/5/2017 10:00:00 AM,10/5/2017 3:00:00 PM,10/5/2017 11:00:00 AM,DAY,2186.1
10/5/2017 3:00:00 PM,10/5/2017 11:00:00 AM,10/5/2017 4:00:00 PM,10/5/2017 12:00:00 PM,DAY,2175.3
10/5/2017 4:00:00 PM,10/5/2017 12:00:00 PM,10/5/2017 5:00:00 PM,10/5/2017 1:00:00 PM,DAY,2167.2
10/5/2017 5:00:00 PM,10/5/2017 1:00:00 PM,10/5/2017 6:00:00 PM,10/5/2017 2:00:00 PM,DAY,2173.7
10/5/2017 6:00:00 PM,10/5/2017 2:00:00 PM,10/5/2017 7:00:00 PM,10/5/2017 3:00:00 PM,DAY,2170.3
10/5/2017 7:00:00 PM,10/5/2017 3:00:00 PM,10/5/2017 8:00:00 PM,10/5/2017 4:00:00 PM,DAY,2146.4
10/5/2017 8:00:00 PM,10/5/2017 4:00:00 PM,10/5/2017 9:00:00 PM,10/5/2017 5:00:00 PM,DAY,2134.3
10/5/2017 9:00:00 PM,10/5/2017 5:00:00 PM,10/5/2017 10:00:00 PM,10/5/2017 6:00:00 PM,DAY,2126.8
10/5/2017 10:00:00 PM,10/5/2017 6:00:00 PM,10/5/2017 11:00:00 PM,10/5/2017 7:00:00 PM,DAY,2116.9
10/5/2017 11:00:00 PM,10/5/2017 7:00:00 PM,10/6/2017 12:00:00 AM,10/5/2017 8:00:00 PM,DAY,2154.1
10/6/2017 12:00:00 AM,10/5/2017 8:00:00 PM,10/6/2017 1:00:00 AM,10/5/2017 9:00:00 PM,DAY,2154.7
10/6/2017 1:00:00 AM,10/5/2017 9:00:00 PM,10/6/2017 2:00:00 AM,10/5/2017 10:00:00 PM,DAY,2067.0
10/6/2017 2:00:00 AM,10/5/2017 10:00:00 PM,10/6/2017 3:00:00 AM,10/5/2017 11:00:00 PM,DAY,1908.4
10/6/2017 3:00:00 AM,10/5/2017 11:00:00 PM,10/6/2017 4:00:00 AM,10/6/2017 12:00:00 AM,DAY,1788.4
10/6/2017 4:00:00 AM,10/6/2017 12:00:00 AM,10/6/2017 5:00:00 AM,10/6/2017 1:00:00 AM,DAY,1722.8
10/6/2017 5:00:00 AM,10/6/2017 1:00:00 AM,10/6/2017 6:00:00 AM,10/6/2017 2:00:00 AM,DAY,1657.1
10/6/2017 6:00:00 AM,10/6/2017 2:00:00 AM,10/6/2017 7:00:00 AM,10/6/2017 3:00:00 AM,DAY,1584.6
10/6/2017 7:00:00 AM,10/6/2017 3:00:00 AM,10/6/2017 8:00:00 AM,10/6/2017 4:00:00 AM,DAY,1549.9
10/6/2017 8:00:00 AM,10/6/2017 4:00:00 AM,10/6/2017 9:00:00 AM,10/6/2017 5:00:00 AM,DAY,1581.0
10/6/2017 9:00:00 AM,10/6/2017 5:00:00 AM,10/6/2017 10:00:00 AM,10/6/2017 6:00:00 AM,DAY,1688.0
10/6/2017 10:00:00 AM,10/6/2017 6:00:00 AM,10/6/2017 11:00:00 AM,10/6/2017 7:00:00 AM,DAY,1897.8
10/6/2017 11:00:00 AM,10/6/2017 7:00:00 AM,10/6/2017 12:00:00 PM,10/6/2017 8:00:00 AM,DAY,2033.8
10/6/2017 12:00:00 PM,10/6/2017 8:00:00 AM,10/6/2017 1:00:00 PM,10/6/2017 9:00:00 AM,DAY,2072.1
10/6/2017 1:00:00 PM,10/6/2017 9:00:00 AM,10/6/2017 2:00:00 PM,10/6/2017 10:00:00 AM,DAY,2105.5
10/6/2017 2:00:00 PM,10/6/2017 10:00:00 AM,10/6/2017 3:00:00 PM,10/6/2017 11:00:00 AM,DAY,2140.4
10/6/2017 3:00:00 PM,10/6/2017 11:00:00 AM,10/6/2017 4:00:00 PM,10/6/2017 12:00:00 PM,DAY,2150.3
10/6/2017 4:00:00 PM,10/6/2017 12:00:00 PM,10/6/2017 5:00:00 PM,10/6/2017 1:00:00 PM,DAY,2175.6
10/6/2017 5:00:00 PM,10/6/2017 1:00:00 PM,10/6/2017 6:00:00 PM,10/6/2017 2:00:00 PM,DAY,2207.1
10/6/2017 6:00:00 PM,10/6/2017 2:00:00 PM,10/6/2017 7:00:00 PM,10/6/2017 3:00:00 PM,DAY,2199.0
10/6/2017 7:00:00 PM,10/6/2017 3:00:00 PM,10/6/2017 8:00:00 PM,10/6/2017 4:00:00 PM,DAY,2176.4
10/6/2017 8:00:00 PM,10/6/2017 4:00:00 PM,10/6/2017 9:00:00 PM,10/6/2017 5:00:00 PM,DAY,2162.4
