datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 10:00:00 PM,10/3/2017 6:00:00 PM,ATSI,8473.7
10/3/2017 10:00:00 PM,10/3/2017 6:00:00 PM,10/3/2017 11:00:00 PM,10/3/2017 7:00:00 PM,ATSI,8311.3
10/3/2017 11:00:00 PM,10/3/2017 7:00:00 PM,10/4/2017 12:00:00 AM,10/3/2017 8:00:00 PM,ATSI,8453.8
10/4/2017 12:00:00 AM,10/3/2017 8:00:00 PM,10/4/2017 1:00:00 AM,10/3/2017 9:00:00 PM,ATSI,8437.5
10/4/2017 1:00:00 AM,10/3/2017 9:00:00 PM,10/4/2017 2:00:00 AM,10/3/2017 10:00:00 PM,ATSI,8025.8
10/4/2017 2:00:00 AM,10/3/2017 10:00:00 PM,10/4/2017 3:00:00 AM,10/3/2017 11:00:00 PM,ATSI,7469.0
10/4/2017 3:00:00 AM,10/3/2017 11:00:00 PM,10/4/2017 4:00:00 AM,10/4/2017 12:00:00 AM,ATSI,6954.6
10/4/2017 4:00:00 AM,10/4/2017 12:00:00 AM,10/4/2017 5:00:00 AM,10/4/2017 1:00:00 AM,ATSI,6532.9
10/4/2017 5:00:00 AM,10/4/2017 1:00:00 AM,10/4/2017 6:00:00 AM,10/4/2017 2:00:00 AM,ATSI,6288.7
10/4/2017 6:00:00 AM,10/4/2017 2:00:00 AM,10/4/2017 7:00:00 AM,10/4/2017 3:00:00 AM,ATSI,6159.4
10/4/2017 7:00:00 AM,10/4/2017 3:00:00 AM,10/4/2017 8:00:00 AM,10/4/2017 4:00:00 AM,ATSI,6059.8
10/4/2017 8:00:00 AM,10/4/2017 4:00:00 AM,10/4/2017 9:00:00 AM,10/4/2017 5:00:00 AM,ATSI,6169.5
10/4/2017 9:00:00 AM,10/4/2017 5:00:00 AM,10/4/2017 10:00:00 AM,10/4/2017 6:00:00 AM,ATSI,6519.2
10/4/2017 10:00:00 AM,10/4/2017 6:00:00 AM,10/4/2017 11:00:00 AM,10/4/2017 7:00:00 AM,ATSI,7241.4
10/4/2017 11:00:00 AM,10/4/2017 7:00:00 AM,10/4/2017 12:00:00 PM,10/4/2017 8:00:00 AM,ATSI,7732.0
10/4/2017 12:00:00 PM,10/4/2017 8:00:00 AM,10/4/2017 1:00:00 PM,10/4/2017 9:00:00 AM,ATSI,7903.1
10/4/2017 1:00:00 PM,10/4/2017 9:00:00 AM,10/4/2017 2:00:00 PM,10/4/2017 10:00:00 AM,ATSI,8006.8
10/4/2017 2:00:00 PM,10/4/2017 10:00:00 AM,10/4/2017 3:00:00 PM,10/4/2017 11:00:00 AM,ATSI,8220.8
10/4/2017 3:00:00 PM,10/4/2017 11:00:00 AM,10/4/2017 4:00:00 PM,10/4/2017 12:00:00 PM,ATSI,8314.2
10/4/2017 4:00:00 PM,10/4/2017 12:00:00 PM,10/4/2017 5:00:00 PM,10/4/2017 1:00:00 PM,ATSI,8428.6
10/4/2017 5:00:00 PM,10/4/2017 1:00:00 PM,10/4/2017 6:00:00 PM,10/4/2017 2:00:00 PM,ATSI,8639.6
10/4/2017 6:00:00 PM,10/4/2017 2:00:00 PM,10/4/2017 7:00:00 PM,10/4/2017 3:00:00 PM,ATSI,8741.8
10/4/2017 7:00:00 PM,10/4/2017 3:00:00 PM,10/4/2017 8:00:00 PM,10/4/2017 4:00:00 PM,ATSI,8715.4
10/4/2017 8:00:00 PM,10/4/2017 4:00:00 PM,10/4/2017 9:00:00 PM,10/4/2017 5:00:00 PM,ATSI,8696.7
10/4/2017 9:00:00 PM,10/4/2017 5:00:00 PM,10/4/2017 10:00:00 PM,10/4/2017 6:00:00 PM,ATSI,8609.9
10/4/2017 10:00:00 PM,10/4/2017 6:00:00 PM,10/4/2017 11:00:00 PM,10/4/2017 7:00:00 PM,ATSI,8553.4
10/4/2017 11:00:00 PM,10/4/2017 7:00:00 PM,10/5/2017 12:00:00 AM,10/4/2017 8:00:00 PM,ATSI,8763.6
10/5/2017 12:00:00 AM,10/4/2017 8:00:00 PM,10/5/2017 1:00:00 AM,10/4/2017 9:00:00 PM,ATSI,8743.0
10/5/2017 1:00:00 AM,10/4/2017 9:00:00 PM,10/5/2017 2:00:00 AM,10/4/2017 10:00:00 PM,ATSI,8397.8
10/5/2017 2:00:00 AM,10/4/2017 10:00:00 PM,10/5/2017 3:00:00 AM,10/4/2017 11:00:00 PM,ATSI,7899.0
10/5/2017 3:00:00 AM,10/4/2017 11:00:00 PM,10/5/2017 4:00:00 AM,10/5/2017 12:00:00 AM,ATSI,7352.8
10/5/2017 4:00:00 AM,10/5/2017 12:00:00 AM,10/5/2017 5:00:00 AM,10/5/2017 1:00:00 AM,ATSI,6937.5
10/5/2017 5:00:00 AM,10/5/2017 1:00:00 AM,10/5/2017 6:00:00 AM,10/5/2017 2:00:00 AM,ATSI,6601.5
10/5/2017 6:00:00 AM,10/5/2017 2:00:00 AM,10/5/2017 7:00:00 AM,10/5/2017 3:00:00 AM,ATSI,6389.9
10/5/2017 7:00:00 AM,10/5/2017 3:00:00 AM,10/5/2017 8:00:00 AM,10/5/2017 4:00:00 AM,ATSI,6241.0
10/5/2017 8:00:00 AM,10/5/2017 4:00:00 AM,10/5/2017 9:00:00 AM,10/5/2017 5:00:00 AM,ATSI,6332.8
10/5/2017 9:00:00 AM,10/5/2017 5:00:00 AM,10/5/2017 10:00:00 AM,10/5/2017 6:00:00 AM,ATSI,6658.4
10/5/2017 10:00:00 AM,10/5/2017 6:00:00 AM,10/5/2017 11:00:00 AM,10/5/2017 7:00:00 AM,ATSI,7313.0
