datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2018 8:00:00 PM,7/2/2018 4:00:00 PM,RFC,WEST,AEP,AEPAPT,6257.676,True
7/2/2018 8:00:00 PM,7/2/2018 4:00:00 PM,RFC,WEST,AEP,AEPIMP,4272.637,True
7/2/2018 8:00:00 PM,7/2/2018 4:00:00 PM,RFC,WEST,AEP,AEPKPT,949.186,True
7/2/2018 8:00:00 PM,7/2/2018 4:00:00 PM,RFC,WEST,AEP,AEPOPT,8677.861,True
7/2/2018 9:00:00 PM,7/2/2018 5:00:00 PM,RFC,WEST,AEP,AEPAPT,6220.935,True
7/2/2018 9:00:00 PM,7/2/2018 5:00:00 PM,RFC,WEST,AEP,AEPIMP,4286.087,True
7/2/2018 9:00:00 PM,7/2/2018 5:00:00 PM,RFC,WEST,AEP,AEPKPT,943.562,True
7/2/2018 9:00:00 PM,7/2/2018 5:00:00 PM,RFC,WEST,AEP,AEPOPT,8502.066,True
7/2/2018 10:00:00 PM,7/2/2018 6:00:00 PM,RFC,WEST,AEP,AEPAPT,6098.551,True
7/2/2018 10:00:00 PM,7/2/2018 6:00:00 PM,RFC,WEST,AEP,AEPIMP,4337.665,True
7/2/2018 10:00:00 PM,7/2/2018 6:00:00 PM,RFC,WEST,AEP,AEPKPT,919.791,True
7/2/2018 10:00:00 PM,7/2/2018 6:00:00 PM,RFC,WEST,AEP,AEPOPT,8505.942,True
7/2/2018 11:00:00 PM,7/2/2018 7:00:00 PM,RFC,WEST,AEP,AEPAPT,5921.770,True
7/2/2018 11:00:00 PM,7/2/2018 7:00:00 PM,RFC,WEST,AEP,AEPIMP,4207.399,True
7/2/2018 11:00:00 PM,7/2/2018 7:00:00 PM,RFC,WEST,AEP,AEPKPT,883.664,True
7/2/2018 11:00:00 PM,7/2/2018 7:00:00 PM,RFC,WEST,AEP,AEPOPT,8385.355,True
7/3/2018 12:00:00 AM,7/2/2018 8:00:00 PM,RFC,WEST,AEP,AEPAPT,5707.424,True
7/3/2018 12:00:00 AM,7/2/2018 8:00:00 PM,RFC,WEST,AEP,AEPIMP,4106.154,True
7/3/2018 12:00:00 AM,7/2/2018 8:00:00 PM,RFC,WEST,AEP,AEPKPT,845.534,True
7/3/2018 12:00:00 AM,7/2/2018 8:00:00 PM,RFC,WEST,AEP,AEPOPT,8112.579,True
7/3/2018 1:00:00 AM,7/2/2018 9:00:00 PM,RFC,WEST,AEP,AEPAPT,5506.157,True
7/3/2018 1:00:00 AM,7/2/2018 9:00:00 PM,RFC,WEST,AEP,AEPIMP,4039.961,True
7/3/2018 1:00:00 AM,7/2/2018 9:00:00 PM,RFC,WEST,AEP,AEPKPT,825.203,True
7/3/2018 1:00:00 AM,7/2/2018 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7942.030,True
7/3/2018 2:00:00 AM,7/2/2018 10:00:00 PM,RFC,WEST,AEP,AEPAPT,5134.820,True
7/3/2018 2:00:00 AM,7/2/2018 10:00:00 PM,RFC,WEST,AEP,AEPIMP,3781.042,True
7/3/2018 2:00:00 AM,7/2/2018 10:00:00 PM,RFC,WEST,AEP,AEPKPT,776.840,True
7/3/2018 2:00:00 AM,7/2/2018 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7557.546,True
7/3/2018 3:00:00 AM,7/2/2018 11:00:00 PM,RFC,WEST,AEP,AEPAPT,4772.535,True
7/3/2018 3:00:00 AM,7/2/2018 11:00:00 PM,RFC,WEST,AEP,AEPIMP,3476.229,True
7/3/2018 3:00:00 AM,7/2/2018 11:00:00 PM,RFC,WEST,AEP,AEPKPT,723.375,True
7/3/2018 3:00:00 AM,7/2/2018 11:00:00 PM,RFC,WEST,AEP,AEPOPT,7016.850,True
7/3/2018 4:00:00 AM,7/3/2018 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4463.296,True
7/3/2018 4:00:00 AM,7/3/2018 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3252.130,True
7/3/2018 4:00:00 AM,7/3/2018 12:00:00 AM,RFC,WEST,AEP,AEPKPT,668.618,True
7/3/2018 4:00:00 AM,7/3/2018 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6504.207,True
7/3/2018 5:00:00 AM,7/3/2018 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4191.907,True
7/3/2018 5:00:00 AM,7/3/2018 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3071.572,True
7/3/2018 5:00:00 AM,7/3/2018 1:00:00 AM,RFC,WEST,AEP,AEPKPT,633.861,True
7/3/2018 5:00:00 AM,7/3/2018 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6145.612,True
7/3/2018 6:00:00 AM,7/3/2018 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4022.784,True
7/3/2018 6:00:00 AM,7/3/2018 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2905.043,True
7/3/2018 6:00:00 AM,7/3/2018 2:00:00 AM,RFC,WEST,AEP,AEPKPT,599.890,True
7/3/2018 6:00:00 AM,7/3/2018 2:00:00 AM,RFC,WEST,AEP,AEPOPT,5878.839,True
7/3/2018 7:00:00 AM,7/3/2018 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3925.661,True
7/3/2018 7:00:00 AM,7/3/2018 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2910.465,True
7/3/2018 7:00:00 AM,7/3/2018 3:00:00 AM,RFC,WEST,AEP,AEPKPT,585.710,True
7/3/2018 7:00:00 AM,7/3/2018 3:00:00 AM,RFC,WEST,AEP,AEPOPT,5773.634,True
7/3/2018 8:00:00 AM,7/3/2018 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3895.030,True
7/3/2018 8:00:00 AM,7/3/2018 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2882.874,True
7/3/2018 8:00:00 AM,7/3/2018 4:00:00 AM,RFC,WEST,AEP,AEPKPT,573.277,True
7/3/2018 8:00:00 AM,7/3/2018 4:00:00 AM,RFC,WEST,AEP,AEPOPT,5686.181,True
7/3/2018 9:00:00 AM,7/3/2018 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3978.355,True
7/3/2018 9:00:00 AM,7/3/2018 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3020.347,True
7/3/2018 9:00:00 AM,7/3/2018 5:00:00 AM,RFC,WEST,AEP,AEPKPT,580.830,True
7/3/2018 9:00:00 AM,7/3/2018 5:00:00 AM,RFC,WEST,AEP,AEPOPT,5870.495,True
7/3/2018 10:00:00 AM,7/3/2018 6:00:00 AM,RFC,WEST,AEP,AEPAPT,4101.032,True
7/3/2018 10:00:00 AM,7/3/2018 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3094.027,True
7/3/2018 10:00:00 AM,7/3/2018 6:00:00 AM,RFC,WEST,AEP,AEPKPT,593.729,True
7/3/2018 10:00:00 AM,7/3/2018 6:00:00 AM,RFC,WEST,AEP,AEPOPT,6139.865,True
7/3/2018 11:00:00 AM,7/3/2018 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4347.055,True
7/3/2018 11:00:00 AM,7/3/2018 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3308.139,True
7/3/2018 11:00:00 AM,7/3/2018 7:00:00 AM,RFC,WEST,AEP,AEPKPT,623.335,True
7/3/2018 11:00:00 AM,7/3/2018 7:00:00 AM,RFC,WEST,AEP,AEPOPT,6570.390,True
7/3/2018 12:00:00 PM,7/3/2018 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4653.784,True
7/3/2018 12:00:00 PM,7/3/2018 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3502.044,True
7/3/2018 12:00:00 PM,7/3/2018 8:00:00 AM,RFC,WEST,AEP,AEPKPT,666.411,True
7/3/2018 12:00:00 PM,7/3/2018 8:00:00 AM,RFC,WEST,AEP,AEPOPT,7014.325,True
7/3/2018 1:00:00 PM,7/3/2018 9:00:00 AM,RFC,WEST,AEP,AEPAPT,5021.127,True
7/3/2018 1:00:00 PM,7/3/2018 9:00:00 AM,RFC,WEST,AEP,AEPIMP,3791.320,True
7/3/2018 1:00:00 PM,7/3/2018 9:00:00 AM,RFC,WEST,AEP,AEPKPT,710.309,True
7/3/2018 1:00:00 PM,7/3/2018 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7467.291,True
7/3/2018 2:00:00 PM,7/3/2018 10:00:00 AM,RFC,WEST,AEP,AEPAPT,5409.189,True
7/3/2018 2:00:00 PM,7/3/2018 10:00:00 AM,RFC,WEST,AEP,AEPIMP,3996.608,True
7/3/2018 2:00:00 PM,7/3/2018 10:00:00 AM,RFC,WEST,AEP,AEPKPT,770.409,True
7/3/2018 2:00:00 PM,7/3/2018 10:00:00 AM,RFC,WEST,AEP,AEPOPT,8031.724,True
7/3/2018 3:00:00 PM,7/3/2018 11:00:00 AM,RFC,WEST,AEP,AEPAPT,5700.015,True
7/3/2018 3:00:00 PM,7/3/2018 11:00:00 AM,RFC,WEST,AEP,AEPIMP,4174.888,True
7/3/2018 3:00:00 PM,7/3/2018 11:00:00 AM,RFC,WEST,AEP,AEPKPT,837.850,True
7/3/2018 3:00:00 PM,7/3/2018 11:00:00 AM,RFC,WEST,AEP,AEPOPT,8568.573,True
7/3/2018 4:00:00 PM,7/3/2018 12:00:00 PM,RFC,WEST,AEP,AEPAPT,5975.773,True
7/3/2018 4:00:00 PM,7/3/2018 12:00:00 PM,RFC,WEST,AEP,AEPIMP,4397.601,True
7/3/2018 4:00:00 PM,7/3/2018 12:00:00 PM,RFC,WEST,AEP,AEPKPT,891.561,True
7/3/2018 4:00:00 PM,7/3/2018 12:00:00 PM,RFC,WEST,AEP,AEPOPT,9060.493,True
7/3/2018 5:00:00 PM,7/3/2018 1:00:00 PM,RFC,WEST,AEP,AEPAPT,6215.885,True
7/3/2018 5:00:00 PM,7/3/2018 1:00:00 PM,RFC,WEST,AEP,AEPIMP,4471.273,True
7/3/2018 5:00:00 PM,7/3/2018 1:00:00 PM,RFC,WEST,AEP,AEPKPT,936.609,True
7/3/2018 5:00:00 PM,7/3/2018 1:00:00 PM,RFC,WEST,AEP,AEPOPT,9373.166,True
7/3/2018 6:00:00 PM,7/3/2018 2:00:00 PM,RFC,WEST,AEP,AEPAPT,6342.359,True
7/3/2018 6:00:00 PM,7/3/2018 2:00:00 PM,RFC,WEST,AEP,AEPIMP,4488.565,True
7/3/2018 6:00:00 PM,7/3/2018 2:00:00 PM,RFC,WEST,AEP,AEPKPT,959.478,True
7/3/2018 6:00:00 PM,7/3/2018 2:00:00 PM,RFC,WEST,AEP,AEPOPT,9528.246,True
7/3/2018 7:00:00 PM,7/3/2018 3:00:00 PM,RFC,WEST,AEP,AEPAPT,6416.759,True
7/3/2018 7:00:00 PM,7/3/2018 3:00:00 PM,RFC,WEST,AEP,AEPIMP,4470.157,True
7/3/2018 7:00:00 PM,7/3/2018 3:00:00 PM,RFC,WEST,AEP,AEPKPT,977.912,True
7/3/2018 7:00:00 PM,7/3/2018 3:00:00 PM,RFC,WEST,AEP,AEPOPT,9499.107,True
7/3/2018 8:00:00 PM,7/3/2018 4:00:00 PM,RFC,WEST,AEP,AEPAPT,6489.492,True
7/3/2018 8:00:00 PM,7/3/2018 4:00:00 PM,RFC,WEST,AEP,AEPIMP,4486.401,True
